S_H1N1	E_H1N1	I_H1N1	R_H1N1	beta_H1N1	S_H3N2	E_H3N2	I_H3N2	R_H3N2	beta_H3N2	S_B	E_B	I_B	R_B	beta_B
155967.0	23.0	10.0	44000.0	6.411612712945687e-06	148000.0	0.0	0.0	51986.0		120000.0	0.0	0.0	79988.0	
155961.0	29.0	10.0	44000.0	0.0	148000.0	0.0	0.0	51985.0		120000.0	0.0	0.0	79986.0	
155950.0	17.0	33.0	44000.0	4.4691868994530105e-06	148000.0	0.0	0.0	51982.0		120000.0	0.0	0.0	79982.0	
155930.0	31.0	39.0	44000.0	9.86636015174462e-07	148000.0	0.0	0.0	51979.0		120000.0	0.0	0.0	79977.0	
155862.0	88.0	50.0	44000.0	1.4115050493385173e-06	148000.0	0.0	0.0	51959.0		120000.0	0.0	0.0	79951.0	
155846.0	84.0	70.0	44000.0	1.8333116391456035e-06	148000.0	0.0	0.0	51955.0		120000.0	0.0	0.0	79944.0	
155826.0	36.0	128.0	44010.0	3.409251344448295e-06	147995.0	0.0	0.0	51960.0		119993.0	0.0	0.0	79946.0	
155728.0	118.0	144.0	44010.0	7.134947543865658e-07	147995.0	0.0	0.0	51932.0		119993.0	0.0	0.0	79906.0	
155721.0	105.0	141.0	44033.0	9.108853117511811e-07	147981.0	0.0	0.0	51954.0		119979.0	0.0	0.0	79929.0	
155633.0	95.0	233.0	44039.0	2.70251719345575e-06	147976.0	0.0	0.0	51938.0		119975.0	0.0	0.0	79899.0	
155279.0	442.0	229.0	44050.0	1.9685653301167352e-07	147968.0	0.0	0.0	51870.0		119968.0	0.0	0.0	79765.0	
155137.0	496.0	297.0	44070.0	1.9099009024043026e-06	147951.0	0.0	0.0	51853.0		119953.0	0.0	0.0	79734.0	
154235.0	1044.0	583.0	44138.0	3.936876303290945e-06	147903.0	0.0	0.0	51685.0		119911.0	0.0	0.0	79432.0	
154165.0	972.0	709.0	44154.0	1.299141098479607e-06	147891.0	0.0	0.0	51680.0		119902.0	0.0	0.0	79421.0	
151805.0	2430.0	1591.0	44174.0	3.734653219955279e-06	147876.0	0.0	0.0	51092.0		119890.0	0.0	0.0	78515.0	
151747.0	2418.0	1563.0	44272.0	2.9513379892882534e-07	147806.0	0.0	0.0	51176.0		119832.0	0.0	0.0	78587.0	
147077.0	4728.0	3916.0	44279.0	4.097552786602236e-06	147800.0	0.0	0.0	50003.0		119825.0	0.0	0.0	76736.0	
145718.0	6029.0	3886.0	44367.0	1.024264204444774e-07	147734.0	0.0	0.0	49753.0		119773.0	0.0	0.0	76301.0	
144637.0	2440.0	8202.0	44721.0	3.936567569706332e-06	147459.0	0.0	0.0	49795.0		119564.0	0.0	0.0	76197.0	
144252.0	1466.0	9419.0	44863.0	1.0002137410397078e-06	147354.0	0.0	0.0	49834.0		119473.0	0.0	0.0	76183.0	
142464.0	2173.0	9598.0	45765.0	7.90569061351693e-07	146688.0	0.0	0.0	50316.0		118941.0	0.0	0.0	76386.0	
138274.0	5978.0	9913.0	45835.0	2.8087630096668094e-07	146639.0	0.0	0.0	49262.0		118898.0	0.0	0.0	74774.0	
138042.0	4422.0	9341.0	48195.0	1.3866373674844062e-06	144887.0	0.0	0.0	51557.0		117464.0	0.0	0.0	77048.0	
136783.0	1491.0	13473.0	48253.0	2.2736184692581054e-06	144843.0	0.0	0.0	51285.0		117432.0	0.0	0.0	76600.0	
130518.0	7524.0	9035.0	52923.0	1.967385280428681e-07	141353.0	0.0	0.0	54352.0		114620.0	0.0	0.0	78729.0	
128908.0	7875.0	8935.0	54282.0	1.0930783759421767e-06	140332.0	0.0	0.0	55272.0		113784.0	0.0	0.0	79441.0	
119393.0	11125.0	14119.0	55363.0	3.716535386248373e-06	139563.0	0.0	0.0	53801.0		113161.0	0.0	0.0	76733.0	
114079.0	14829.0	15344.0	55748.0	9.197749568217645e-07	139281.0	0.0	0.0	52813.0		112932.0	0.0	0.0	74935.0	
99557.0	19836.0	23071.0	57536.0	4.1425768331768775e-06	137913.0	0.0	0.0	50775.0		111843.0	0.0	0.0	70928.0	
98850.0	15229.0	24195.0	61726.0	2.2218730946283166e-06	134847.0	0.0	0.0	54787.0		109335.0	0.0	0.0	74839.0	
78090.0	21467.0	38485.0	61958.0	4.83214011382881e-06	134680.0	0.0	0.0	49620.0		109189.0	0.0	0.0	66808.0	
75235.0	23615.0	37933.0	63217.0	2.477321076006504e-07	133751.0	0.0	0.0	50159.0		108436.0	0.0	0.0	66942.0	
56838.0	21252.0	52428.0	69482.0	6.966670505986702e-06	129089.0	0.0	0.0	51660.0		104712.0	0.0	0.0	65794.0	
55930.0	19305.0	53673.0	71092.0	9.510545394334511e-07	127918.0	0.0	0.0	53021.0		103749.0	0.0	0.0	67037.0	
54839.0	1999.0	62555.0	80607.0	5.362847571724002e-06	120955.0	0.0	0.0	62214.0		98023.0	0.0	0.0	76102.0	
54424.0	1506.0	58149.0	85921.0	2.869149248232213e-07	117014.0	0.0	0.0	67429.0		94892.0	0.0	0.0	81240.0	
39131.0	15708.0	44718.0	100443.0	6.234784290390381e-07	106318.0	0.0	0.0	78006.0		86165.0	0.0	0.0	89661.0	
36765.0	17659.0	44426.0	101150.0	2.540834127925635e-07	105789.0	0.0	0.0	78107.0		85737.0	0.0	0.0	89425.0	
36267.0	2864.0	38959.0	121910.0	1.082363791617338e-05	90428.0	0.0	0.0	98743.0		73240.0	0.0	0.0	109995.0	
36032.0	733.0	38470.0	124765.0	1.7068846985101998e-06	88293.0	0.0	0.0	101515.0		71510.0	0.0	0.0	112759.0	
34948.0	1319.0	20571.0	143162.0	6.927102461977343e-07	74660.0	0.0	0.0	119639.0		60526.0	0.0	0.0	130728.0	
34869.0	1163.0	19898.0	144070.0	3.387029219117012e-07	74001.0	0.0	0.0	120531.0		59985.0	0.0	0.0	131606.0	
31966.0	2982.0	19891.0	145161.0	1.7048429173935066e-06	73232.0	0.0	0.0	120847.0		59344.0	0.0	0.0	131589.0	
31044.0	3825.0	19555.0	145576.0	1.3013424483970773e-07	72916.0	0.0	0.0	121053.0		59105.0	0.0	0.0	131646.0	
30907.0	1059.0	7165.0	160869.0	1.3109133582229253e-05	61568.0	0.0	0.0	136313.0		49913.0	0.0	0.0	146873.0	
30866.0	178.0	5721.0	163235.0	5.2212996906759355e-06	59808.0	0.0	0.0	138670.0		48490.0	0.0	0.0	149225.0	
30844.0	63.0	5360.0	163733.0	8.286766143346296e-07	59434.0	0.0	0.0	139162.0		48182.0	0.0	0.0	149710.0	
30578.0	288.0	5166.0	163968.0	2.595496087549198e-07	59282.0	0.0	0.0	139326.0		48038.0	0.0	0.0	149856.0	
30573.0	271.0	4104.0	165052.0	1.75338494150931e-07	58471.0	0.0	0.0	140408.0		47382.0	0.0	0.0	150939.0	
30271.0	307.0	4291.0	165131.0	2.047841566904897e-06	58408.0	0.0	0.0	140401.0		47333.0	0.0	0.0	150890.0	
30244.0	329.0	1393.0	168034.0	1.1868057957518619e-07	56280.0	0.0	0.0	143297.0		45538.0	0.0	0.0	153783.0	
30192.0	79.0	773.0	168956.0	1.2940038432771102e-05	55567.0	0.0	0.0	144203.0		44974.0	0.0	0.0	154687.0	
30096.0	148.0	663.0	169093.0	1.3531360280586287e-06	55463.0	0.0	0.0	144319.0		44903.0	0.0	0.0	154787.0	
30072.0	120.0	674.0	169134.0	2.565553847817661e-06	55431.0	0.0	0.0	144356.0		44876.0	0.0	0.0	154820.0	
30014.0	82.0	748.0	169156.0	4.2760793626076105e-06	55415.0	0.0	0.0	144366.0		44867.0	0.0	0.0	154826.0	
29906.0	166.0	506.0	169422.0	1.5859971256445427e-06	55220.0	0.0	0.0	144603.0		44690.0	0.0	0.0	155049.0	
29904.0	110.0	559.0	169427.0	3.4696598584761637e-06	55217.0	0.0	0.0	144607.0		44686.0	0.0	0.0	155054.0	
29880.0	26.0	365.0	169729.0	9.902624195411785e-06	55001.0	0.0	0.0	144902.0		44512.0	0.0	0.0	155348.0	
29787.0	117.0	340.0	169756.0	1.9748054322947833e-07	54981.0	0.0	0.0	144911.0		44495.0	0.0	0.0	155336.0	
29781.0	99.0	312.0	169808.0	2.582958158660788e-06	54945.0	0.0	0.0	144959.0		44461.0	0.0	0.0	155387.0	
29749.0	38.0	309.0	169904.0	1.011700809393283e-05	54870.0	0.0	0.0	145046.0		44402.0	0.0	0.0	155468.0	
29677.0	104.0	291.0	169928.0	6.94765532265085e-07	54850.0	0.0	0.0	145047.0		44386.0	0.0	0.0	155464.0	
29676.0	73.0	265.0	169986.0	4.0691035510558055e-06	54804.0	0.0	0.0	145105.0		44344.0	0.0	0.0	155522.0	
29648.0	29.0	229.0	170094.0	1.0604778748966034e-05	54725.0	0.0	0.0	145208.0		44279.0	0.0	0.0	155613.0	
29600.0	76.0	228.0	170096.0	1.4817449027975343e-07	54724.0	0.0	0.0	145192.0		44277.0	0.0	0.0	155602.0	
29564.0	84.0	232.0	170120.0	4.082318196875044e-06	54707.0	0.0	0.0	145205.0		44261.0	0.0	0.0	155613.0	
29562.0	38.0	187.0	170213.0	8.68292037002265e-06	54632.0	0.0	0.0	145298.0		44207.0	0.0	0.0	155705.0	
29562.0	2.0	217.0	170219.0	5.611887474173626e-06	54630.0	0.0	0.0	145304.0		44202.0	0.0	0.0	155711.0	
29562.0	0.0	187.0	170251.0	3.6178834875094384e-07	54607.0	0.0	0.0	145336.0		44185.0	0.0	0.0	155743.0	
29562.0	0.0	115.0	170323.0	0.0	54558.0	0.0	0.0	145408.0		44141.0	0.0	0.0	155815.0	
