H1N1	H3N2	B
26	0	0
46	0	0
69	0	0
122	0	0
180	0	0
230	0	0
239	0	0
358	0	0
438	0	0
691	0	0
994	0	0
1504	0	0
1730	0	0
1740	0	0
3807	0	0
3927	0	0
8461	0	0
8518	0	0
13757	0	0
16122	0	0
27017	0	0
27662	0	0
55188	0	0
56390	0	0
61661	0	0
66113	0	0
61989	0	0
64705	0	0
53801	0	0
53851	0	0
29789	0	0
28858	0	0
24774	0	0
20110	0	0
22738	0	0
17189	0	0
19807	0	0
19206	0	0
13917	0	0
16412	0	0
10641	0	0
15104	0	0
11439	0	0
14472	0	0
11640	0	0
14498	0	0
16253	0	0
13337	0	0
17754	0	0
13212	0	0
15658	0	0
12878	0	0
13146	0	0
12315	0	0
11516	0	0
11470	0	0
8645	0	0
8695	0	0
7626	0	0
7293	0	0
7024	0	0
5310	0	0
4134	0	0
4104	0	0
2721	0	0
2634	0	0
966	0	0
962	0	0
904	0	0
529	0	0
488	0	0
547	0	0
292	0	0
306	0	0
194	0	0
200	0	0
205	0	0
113	0	0
113	0	0
56	0	0
69	0	0
55	0	0
72	0	0
55	0	0
62	0	0
62	0	0
63	0	0
55	0	0
43	0	0
42	0	0
27	0	0
27	0	0
13	0	0
13	0	0
12	0	0
5	0	0
4	0	0
3	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
