H1N1	H3N2	B
32	0	0
44	0	0
101	0	0
124	0	0
199	0	0
233	0	0
293	0	0
496	0	0
547	0	0
959	0	0
997	0	0
1529	0	0
1770	0	0
1930	0	0
2767	0	0
2796	0	0
6533	0	0
6898	0	0
13382	0	0
16248	0	0
17335	0	0
26255	0	0
27881	0	0
28197	0	0
31150	0	0
32251	0	0
33709	0	0
30836	0	0
47909	0	0
40243	0	0
47228	0	0
61653	0	0
59969	0	0
66875	0	0
59235	0	0
63862	0	0
45973	0	0
44810	0	0
42679	0	0
27925	0	0
23069	0	0
15065	0	0
18691	0	0
13588	0	0
13610	0	0
14991	0	0
7688	0	0
8952	0	0
9262	0	0
8529	0	0
4570	0	0
4700	0	0
4104	0	0
2608	0	0
2549	0	0
1308	0	0
782	0	0
729	0	0
732	0	0
533	0	0
541	0	0
378	0	0
418	0	0
178	0	0
173	0	0
176	0	0
111	0	0
118	0	0
112	0	0
106	0	0
58	0	0
57	0	0
59	0	0
50	0	0
57	0	0
48	0	0
33	0	0
34	0	0
18	0	0
25	0	0
21	0	0
23	0	0
17	0	0
25	0	0
26	0	0
25	0	0
26	0	0
20	0	0
22	0	0
20	0	0
25	0	0
16	0	0
17	0	0
16	0	0
19	0	0
17	0	0
19	0	0
19	0	0
11	0	0
11	0	0
9	0	0
9	0	0
4	0	0
4	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
