H1N1	H3N2	B
5	0	0
5	0	0
3	0	0
9	0	0
8	0	0
8	0	0
6	0	0
16	0	0
13	0	0
41	0	0
42	0	0
77	0	0
53	0	0
47	0	0
257	0	0
51	0	0
548	0	0
123	0	0
751	0	0
439	0	0
1478	0	0
351	0	0
3439	0	0
491	0	0
2313	0	0
1245	0	0
740	0	0
1079	0	0
246	0	0
323	0	0
710	0	0
142	0	0
725	0	0
117	0	0
592	0	0
86	0	0
446	0	0
73	0	0
109	0	0
321	0	0
31	0	0
541	0	0
102	0	0
412	0	0
56	0	0
445	0	0
270	0	0
89	0	0
516	0	0
39	0	0
409	0	0
91	0	0
100	0	0
289	0	0
169	0	0
42	0	0
241	0	0
32	0	0
252	0	0
9	0	0
32	0	0
84	0	0
12	0	0
11	0	0
46	0	0
2	0	0
19	0	0
3	0	0
1	0	0
18	0	0
0	0	0
12	0	0
0	0	0
1	0	0
1	0	0
4	0	0
2	0	0
0	0	0
0	0	0
1	0	0
1	0	0
0	0	0
4	0	0
0	0	0
1	0	0
0	0	0
0	0	0
1	0	0
0	0	0
1	0	0
1	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
