S_H1N1	E_H1N1	I_H1N1	R_H1N1	beta_H1N1	S_H3N2	E_H3N2	I_H3N2	R_H3N2	beta_H3N2	S_B	E_B	I_B	R_B	beta_B
155970.0	20.0	10.0	44000.0	6.411489388985062e-06	148000.0	0.0	0.0	51987.0		120000.0	0.0	0.0	79992.0	
155946.0	44.0	10.0	44000.0	0.0	148000.0	0.0	0.0	51982.0		120000.0	0.0	0.0	79982.0	
155942.0	28.0	30.0	44000.0	4.275093731430062e-06	148000.0	0.0	0.0	51980.0		120000.0	0.0	0.0	79979.0	
155940.0	6.0	54.0	44000.0	2.8500990409416727e-06	148000.0	0.0	0.0	51979.0		120000.0	0.0	0.0	79977.0	
155846.0	96.0	58.0	44000.0	4.4252349910411116e-07	148000.0	0.0	0.0	51954.0		120000.0	0.0	0.0	79944.0	
155846.0	94.0	60.0	44000.0	2.138863579003204e-07	148000.0	0.0	0.0	51954.0		120000.0	0.0	0.0	79944.0	
155695.0	151.0	144.0	44010.0	4.192670142122597e-06	147995.0	0.0	0.0	51931.0		119993.0	0.0	0.0	79894.0	
155631.0	215.0	144.0	44010.0	0.0	147995.0	0.0	0.0	51919.0		119993.0	0.0	0.0	79868.0	
155419.0	276.0	275.0	44030.0	3.5329715742020545e-06	147983.0	0.0	0.0	51890.0		119978.0	0.0	0.0	79799.0	
155404.0	227.0	315.0	44054.0	1.3073962264459292e-06	147964.0	0.0	0.0	51908.0		119964.0	0.0	0.0	79819.0	
155066.0	353.0	523.0	44058.0	2.614072256261745e-06	147962.0	0.0	0.0	51828.0		119963.0	0.0	0.0	79697.0	
154746.0	658.0	536.0	44060.0	1.8084522137480563e-07	147961.0	0.0	0.0	51749.0		119963.0	0.0	0.0	79581.0	
154354.0	712.0	780.0	44154.0	2.8073994411115576e-06	147892.0	0.0	0.0	51744.0		119902.0	0.0	0.0	79526.0	
153766.0	980.0	1100.0	44154.0	1.8918947680832622e-06	147892.0	0.0	0.0	51593.0		119902.0	0.0	0.0	79285.0	
153695.0	659.0	1341.0	44305.0	1.9019432304394175e-06	147774.0	0.0	0.0	51724.0		119811.0	0.0	0.0	79412.0	
152875.0	891.0	1865.0	44369.0	2.062348332562437e-06	147722.0	0.0	0.0	51591.0		119773.0	0.0	0.0	79157.0	
151140.0	2555.0	1724.0	44581.0	2.724844161940789e-07	147559.0	0.0	0.0	51352.0		119650.0	0.0	0.0	78689.0	
150037.0	2838.0	2529.0	44596.0	2.1610591359258575e-06	147550.0	0.0	0.0	51097.0		119639.0	0.0	0.0	78279.0	
145841.0	5299.0	3926.0	44934.0	3.0301878350040753e-06	147296.0	0.0	0.0	50302.0		119427.0	0.0	0.0	76894.0	
145572.0	4465.0	4709.0	45254.0	1.6090479012947522e-06	147057.0	0.0	0.0	50548.0		119225.0	0.0	0.0	77110.0	
140642.0	5199.0	8513.0	45646.0	3.504594801914497e-06	146764.0	0.0	0.0	49614.0		118982.0	0.0	0.0	75483.0	
138388.0	7184.0	8194.0	46234.0	2.372235973822339e-07	146327.0	0.0	0.0	49616.0		118635.0	0.0	0.0	75163.0	
125402.0	15240.0	13053.0	46305.0	3.0118415357929576e-06	146276.0	0.0	0.0	46373.0		118588.0	0.0	0.0	70043.0	
122996.0	15392.0	14487.0	47125.0	1.2649823436862383e-06	145653.0	0.0	0.0	46577.0		118087.0	0.0	0.0	69906.0	
116852.0	8550.0	25738.0	48860.0	4.317819187990538e-06	144369.0	0.0	0.0	46772.0		117032.0	0.0	0.0	69263.0	
101335.0	21661.0	27041.0	49963.0	8.780381843223556e-07	143536.0	0.0	0.0	43839.0		116354.0	0.0	0.0	64211.0	
100128.0	16724.0	28989.0	54159.0	2.1167152138608332e-06	140473.0	0.0	0.0	47716.0		113881.0	0.0	0.0	67931.0	
94488.0	6847.0	44237.0	54428.0	3.712320269845534e-06	140278.0	0.0	0.0	46544.0		113716.0	0.0	0.0	65923.0	
86048.0	14080.0	40514.0	59358.0	3.4622734529205987e-07	136674.0	0.0	0.0	49266.0		110805.0	0.0	0.0	67484.0	
79395.0	15093.0	43900.0	61612.0	1.6181598853860796e-06	135006.0	0.0	0.0	49775.0		109459.0	0.0	0.0	67070.0	
78561.0	7487.0	39354.0	74598.0	2.7298988929481773e-06	125334.0	0.0	0.0	62528.0		101664.0	0.0	0.0	79713.0	
66009.0	13386.0	43601.0	77004.0	2.3116278596693343e-06	123544.0	0.0	0.0	61676.0		100215.0	0.0	0.0	77065.0	
65693.0	12868.0	38291.0	83148.0	3.315509273417222e-07	118940.0	0.0	0.0	67729.0		96449.0	0.0	0.0	83076.0	
62515.0	3494.0	35326.0	98665.0	5.683740357955828e-06	107459.0	0.0	0.0	82393.0		87087.0	0.0	0.0	97337.0	
44517.0	21176.0	34435.0	99872.0	2.0613944657083916e-07	106571.0	0.0	0.0	78860.0		86356.0	0.0	0.0	91407.0	
43618.0	18897.0	31973.0	105512.0	2.2787923720378166e-06	102372.0	0.0	0.0	84250.0		82993.0	0.0	0.0	96682.0	
43169.0	1348.0	41531.0	113952.0	1.0038755357450113e-05	96140.0	0.0	0.0	92569.0		77922.0	0.0	0.0	104952.0	
42600.0	1018.0	35777.0	120605.0	5.8985623123729e-07	91232.0	0.0	0.0	99091.0		73937.0	0.0	0.0	111371.0	
42364.0	805.0	35392.0	121439.0	2.9946376217959803e-07	90631.0	0.0	0.0	99866.0		73446.0	0.0	0.0	112118.0	
35336.0	7264.0	23409.0	133991.0	6.878789481604076e-07	81337.0	0.0	0.0	110589.0		65948.0	0.0	0.0	121894.0	
35253.0	7111.0	23329.0	134307.0	2.869589660606785e-07	81112.0	0.0	0.0	110887.0		65765.0	0.0	0.0	122173.0	
34931.0	405.0	27179.0	137485.0	7.4026507529365325e-06	78787.0	0.0	0.0	113973.0		63843.0	0.0	0.0	125216.0	
27807.0	7446.0	9264.0	155483.0	3.2219990580272247e-07	65529.0	0.0	0.0	130090.0		52982.0	0.0	0.0	140407.0	
27565.0	7366.0	8687.0	156382.0	1.3447082005129478e-06	64880.0	0.0	0.0	130922.0		52448.0	0.0	0.0	141213.0	
25051.0	2756.0	15362.0	156831.0	1.851190372837173e-05	64552.0	0.0	0.0	130745.0		52169.0	0.0	0.0	140603.0	
22558.0	5007.0	15035.0	157400.0	7.135285274159921e-07	64114.0	0.0	0.0	130687.0		51834.0	0.0	0.0	140146.0	
22486.0	2565.0	17313.0	157636.0	6.457742712525969e-06	63937.0	0.0	0.0	130903.0		51685.0	0.0	0.0	140352.0	
20178.0	2380.0	12778.0	164664.0	9.668993694419866e-06	58738.0	0.0	0.0	137336.0		47433.0	0.0	0.0	146415.0	
19453.0	3033.0	12767.0	164747.0	2.8990589819629854e-07	58673.0	0.0	0.0	137218.0		47387.0	0.0	0.0	146215.0	
19414.0	764.0	14753.0	165069.0	8.058244432124936e-06	58443.0	0.0	0.0	137532.0		47200.0	0.0	0.0	146521.0	
18521.0	932.0	8354.0	172193.0	4.6857498926123074e-06	53200.0	0.0	0.0	144391.0		42883.0	0.0	0.0	153279.0	
18470.0	944.0	8151.0	172435.0	2.590519217766817e-07	53025.0	0.0	0.0	144615.0		42734.0	0.0	0.0	153500.0	
18353.0	168.0	6530.0	174949.0	7.451285655507455e-06	51137.0	0.0	0.0	147103.0		41279.0	0.0	0.0	155968.0	
17969.0	501.0	4088.0	177442.0	6.94281159801306e-07	49271.0	0.0	0.0	149499.0		39812.0	0.0	0.0	158302.0	
17919.0	434.0	4133.0	177514.0	1.5798166513404198e-06	49219.0	0.0	0.0	149552.0		39770.0	0.0	0.0	158351.0	
17916.0	53.0	2209.0	179822.0	9.70274135796536e-06	47506.0	0.0	0.0	151860.0		38427.0	0.0	0.0	160657.0	
17668.0	251.0	1534.0	180547.0	1.8448338306513385e-06	46982.0	0.0	0.0	152511.0		37985.0	0.0	0.0	161278.0	
17667.0	249.0	1498.0	180586.0	1.133565532897092e-07	46951.0	0.0	0.0	152550.0		37962.0	0.0	0.0	161317.0	
17646.0	22.0	853.0	181479.0	1.647617418983396e-05	46323.0	0.0	0.0	153437.0		37435.0	0.0	0.0	162200.0	
17585.0	82.0	803.0	181530.0	7.08177431022633e-08	46290.0	0.0	0.0	153473.0		37405.0	0.0	0.0	162224.0	
17580.0	66.0	707.0	181647.0	1.6895887540972527e-06	46199.0	0.0	0.0	153589.0		37334.0	0.0	0.0	162340.0	
17514.0	71.0	384.0	182031.0	9.070124852498953e-06	45912.0	0.0	0.0	153959.0		37109.0	0.0	0.0	162697.0	
17510.0	70.0	339.0	182081.0	8.423336685821335e-07	45881.0	0.0	0.0	154009.0		37082.0	0.0	0.0	162744.0	
17508.0	6.0	402.0	182084.0	9.37737631240644e-06	45878.0	0.0	0.0	154012.0		37081.0	0.0	0.0	162745.0	
17479.0	31.0	158.0	182332.0	1.4483926824304898e-06	45704.0	0.0	0.0	154254.0		36937.0	0.0	0.0	162988.0	
17478.0	30.0	159.0	182333.0	7.196828213869583e-07	45703.0	0.0	0.0	154255.0		36936.0	0.0	0.0	162988.0	
17478.0	1.0	167.0	182354.0	9.935501465315164e-06	45688.0	0.0	0.0	154276.0		36925.0	0.0	0.0	163009.0	
