S_H1N1	E_H1N1	I_H1N1	R_H1N1	beta_H1N1	S_H3N2	E_H3N2	I_H3N2	R_H3N2	beta_H3N2	S_B	E_B	I_B	R_B	beta_B
155972.0	18.0	10.0	44000.0	6.411407175646911e-06	148000.0	0.0	0.0	51989.0		120000.0	0.0	0.0	79989.0	
155964.0	26.0	10.0	44000.0	0.0	148000.0	0.0	0.0	51988.0		120000.0	0.0	0.0	79986.0	
155934.0	38.0	28.0	44000.0	4.122623307663132e-06	148000.0	0.0	0.0	51982.0		120000.0	0.0	0.0	79976.0	
155931.0	33.0	36.0	44000.0	1.4251317712463988e-06	148000.0	0.0	0.0	51981.0		120000.0	0.0	0.0	79976.0	
155912.0	22.0	66.0	44000.0	2.915397496956325e-06	148000.0	0.0	0.0	51975.0		120000.0	0.0	0.0	79965.0	
155871.0	60.0	69.0	44000.0	2.789374602688455e-07	148000.0	0.0	0.0	51964.0		120000.0	0.0	0.0	79952.0	
155835.0	77.0	78.0	44010.0	1.5631260216879622e-06	147995.0	0.0	0.0	51964.0		119993.0	0.0	0.0	79944.0	
155733.0	138.0	119.0	44010.0	2.212362281122501e-06	147995.0	0.0	0.0	51942.0		119993.0	0.0	0.0	79908.0	
155652.0	183.0	137.0	44028.0	1.6882129534328966e-06	147983.0	0.0	0.0	51942.0		119983.0	0.0	0.0	79899.0	
155566.0	167.0	231.0	44036.0	2.8383994032014806e-06	147976.0	0.0	0.0	51927.0		119978.0	0.0	0.0	79866.0	
155511.0	141.0	282.0	44066.0	1.8470336024666518e-06	147952.0	0.0	0.0	51942.0		119958.0	0.0	0.0	79875.0	
155254.0	312.0	365.0	44069.0	1.5176191167774382e-06	147950.0	0.0	0.0	51891.0		119955.0	0.0	0.0	79781.0	
155047.0	464.0	401.0	44088.0	8.846163242882493e-07	147937.0	0.0	0.0	51854.0		119947.0	0.0	0.0	79719.0	
154627.0	627.0	617.0	44129.0	2.693783133204987e-06	147907.0	0.0	0.0	51787.0		119919.0	0.0	0.0	79600.0	
154266.0	781.0	788.0	44165.0	1.702840258579008e-06	147881.0	0.0	0.0	51738.0		119901.0	0.0	0.0	79495.0	
154094.0	533.0	1106.0	44267.0	2.4643843072607498e-06	147801.0	0.0	0.0	51795.0		119835.0	0.0	0.0	79524.0	
153387.0	879.0	1386.0	44348.0	1.6980693309195724e-06	147738.0	0.0	0.0	51695.0		119781.0	0.0	0.0	79324.0	
153277.0	817.0	1472.0	44434.0	7.623311135196835e-07	147675.0	0.0	0.0	51750.0		119736.0	0.0	0.0	79367.0	
152751.0	636.0	2124.0	44489.0	2.1791184577547097e-06	147635.0	0.0	0.0	51662.0		119702.0	0.0	0.0	79220.0	
152559.0	718.0	1977.0	44746.0	3.647104292193158e-07	147432.0	0.0	0.0	51865.0		119542.0	0.0	0.0	79406.0	
151778.0	973.0	2296.0	44953.0	1.5094023946491077e-06	147281.0	0.0	0.0	51868.0		119416.0	0.0	0.0	79292.0	
151680.0	879.0	2068.0	45373.0	6.120999926548001e-07	146969.0	0.0	0.0	52264.0		119156.0	0.0	0.0	79675.0	
151532.0	246.0	2488.0	45734.0	2.071554209088348e-06	146693.0	0.0	0.0	52590.0		118936.0	0.0	0.0	79980.0	
148592.0	3088.0	2414.0	45906.0	2.732079809024722e-07	146566.0	0.0	0.0	52005.0		118837.0	0.0	0.0	78991.0	
148442.0	3090.0	1855.0	46613.0	5.374783860148705e-07	146040.0	0.0	0.0	52674.0		118411.0	0.0	0.0	79637.0	
146220.0	2372.0	4685.0	46723.0	4.291715806082763e-06	145961.0	0.0	0.0	52192.0		118344.0	0.0	0.0	78893.0	
145877.0	2565.0	4309.0	47249.0	2.386315936619786e-07	145578.0	0.0	0.0	52631.0		118020.0	0.0	0.0	79270.0	
142821.0	3399.0	6339.0	47441.0	2.4543202646865335e-06	145440.0	0.0	0.0	52017.0		117899.0	0.0	0.0	78205.0	
137222.0	8655.0	5901.0	48222.0	4.235890848388943e-07	144863.0	0.0	0.0	51306.0		117439.0	0.0	0.0	76735.0	
136927.0	5894.0	8859.0	48320.0	2.5192980767641385e-06	144789.0	0.0	0.0	51346.0		117378.0	0.0	0.0	76731.0	
125952.0	11270.0	14310.0	48468.0	3.1064599986932784e-06	144676.0	0.0	0.0	48626.0		117286.0	0.0	0.0	72497.0	
123722.0	13205.0	11665.0	51408.0	2.0440444744443963e-07	142493.0	0.0	0.0	50966.0		115507.0	0.0	0.0	74532.0	
100277.0	25675.0	22490.0	51558.0	4.8664665306624884e-06	142381.0	0.0	0.0	45047.0		115418.0	0.0	0.0	65118.0	
98899.0	24823.0	22498.0	53780.0	1.0022338119781198e-06	140751.0	0.0	0.0	46914.0		114050.0	0.0	0.0	66815.0	
74884.0	25393.0	45600.0	54123.0	6.8658823893235574e-06	140495.0	0.0	0.0	41049.0		113856.0	0.0	0.0	57514.0	
74305.0	24594.0	43922.0	57179.0	4.222299846219121e-07	138245.0	0.0	0.0	43947.0		112057.0	0.0	0.0	60347.0	
67487.0	7397.0	62338.0	62778.0	5.708336987734688e-06	134138.0	0.0	0.0	47751.0		108709.0	0.0	0.0	63236.0	
58455.0	15850.0	62622.0	63073.0	1.5817213073111823e-07	133901.0	0.0	0.0	45774.0		108516.0	0.0	0.0	59956.0	
52424.0	15063.0	58465.0	74048.0	2.2244922033734266e-06	125794.0	0.0	0.0	55199.0		101923.0	0.0	0.0	68605.0	
51691.0	6764.0	65267.0	76278.0	2.6771662669437397e-06	124164.0	0.0	0.0	57236.0		100598.0	0.0	0.0	70522.0	
51092.0	1332.0	47853.0	99723.0	2.4667620319894936e-06	106788.0	0.0	0.0	80515.0		86717.0	0.0	0.0	93727.0	
50895.0	796.0	47208.0	101101.0	3.0507966041978393e-07	105765.0	0.0	0.0	81843.0		85864.0	0.0	0.0	95024.0	
50625.0	467.0	23792.0	125116.0	4.973141713782825e-07	87958.0	0.0	0.0	105784.0		71493.0	0.0	0.0	118933.0	
50581.0	314.0	23410.0	125695.0	1.6637091351338117e-07	87537.0	0.0	0.0	106355.0		71137.0	0.0	0.0	119492.0	
48859.0	1766.0	16862.0	132513.0	3.2772540225495324e-07	82514.0	0.0	0.0	112722.0		67029.0	0.0	0.0	125602.0	
48845.0	1736.0	7874.0	141545.0	1.1440293123190403e-07	75754.0	0.0	0.0	121751.0		61572.0	0.0	0.0	134627.0	
48099.0	760.0	3565.0	147576.0	1.0042401152111847e-05	71273.0	0.0	0.0	127567.0		57867.0	0.0	0.0	140335.0	
48029.0	816.0	2846.0	148309.0	1.0242113766268555e-07	70733.0	0.0	0.0	128279.0		57447.0	0.0	0.0	141049.0	
48001.0	98.0	2993.0	148908.0	5.1925636113230265e-06	70300.0	0.0	0.0	128865.0		57088.0	0.0	0.0	141639.0	
47679.0	350.0	2866.0	149105.0	5.122650373828339e-07	70153.0	0.0	0.0	128979.0		56972.0	0.0	0.0	141716.0	
46986.0	1015.0	2624.0	149375.0	2.2710449298337958e-07	69957.0	0.0	0.0	129078.0		56808.0	0.0	0.0	141708.0	
46702.0	977.0	2902.0	149419.0	2.37587169773387e-06	69921.0	0.0	0.0	129050.0		56784.0	0.0	0.0	141634.0	
45848.0	1138.0	1873.0	151141.0	8.070028375756918e-06	68650.0	0.0	0.0	130561.0		55770.0	0.0	0.0	143011.0	
45743.0	959.0	2143.0	151155.0	2.8971536271511607e-06	68639.0	0.0	0.0	130553.0		55763.0	0.0	0.0	142989.0	
45690.0	158.0	2251.0	151901.0	8.303500528302929e-06	68108.0	0.0	0.0	131284.0		55340.0	0.0	0.0	143711.0	
45157.0	586.0	2286.0	151971.0	1.0171569973688182e-06	68059.0	0.0	0.0	131211.0		55289.0	0.0	0.0	143564.0	
44256.0	1434.0	2311.0	151999.0	5.182075852762403e-07	68044.0	0.0	0.0	131009.0		55270.0	0.0	0.0	143248.0	
43954.0	1203.0	2522.0	152321.0	4.808213272638827e-06	67805.0	0.0	0.0	131237.0		55068.0	0.0	0.0	143441.0	
43917.0	339.0	2730.0	153014.0	7.515008539668694e-06	67283.0	0.0	0.0	131917.0		54653.0	0.0	0.0	144122.0	
43898.0	56.0	2748.0	153298.0	2.5034878061574925e-06	67071.0	0.0	0.0	132194.0		54487.0	0.0	0.0	144400.0	
43726.0	191.0	1931.0	154152.0	4.382073925681874e-07	66428.0	0.0	0.0	133006.0		53978.0	0.0	0.0	145191.0	
43714.0	184.0	1845.0	154257.0	2.355790589062957e-07	66345.0	0.0	0.0	133108.0		53909.0	0.0	0.0	145291.0	
43498.0	228.0	1964.0	154310.0	2.0133425616216264e-06	66307.0	0.0	0.0	133102.0		53880.0	0.0	0.0	145259.0	
43317.0	397.0	1443.0	154843.0	1.9198024600060753e-07	65917.0	0.0	0.0	133592.0		53564.0	0.0	0.0	145713.0	
43302.0	196.0	758.0	155744.0	6.58076814381757e-06	65246.0	0.0	0.0	134489.0		53007.0	0.0	0.0	146607.0	
42970.0	347.0	637.0	156046.0	6.612623388447053e-06	65038.0	0.0	0.0	134718.0		52834.0	0.0	0.0	146771.0	
42961.0	341.0	615.0	156083.0	5.677298922846075e-07	65014.0	0.0	0.0	134751.0		52809.0	0.0	0.0	146804.0	
42663.0	307.0	928.0	156102.0	8.385688317503579e-06	65002.0	0.0	0.0	134701.0		52796.0	0.0	0.0	146702.0	
42657.0	304.0	765.0	156274.0	2.757977795520768e-07	64872.0	0.0	0.0	134872.0		52687.0	0.0	0.0	146871.0	
42638.0	25.0	1051.0	156286.0	6.649924626005338e-06	64863.0	0.0	0.0	134880.0		52680.0	0.0	0.0	146875.0	
42565.0	92.0	841.0	156502.0	1.6761103847190133e-07	64706.0	0.0	0.0	135080.0		52549.0	0.0	0.0	147062.0	
42292.0	346.0	679.0	156683.0	6.616458656814318e-07	64568.0	0.0	0.0	135188.0		52447.0	0.0	0.0	147157.0	
42157.0	408.0	737.0	156698.0	2.349555317689007e-06	64557.0	0.0	0.0	135161.0		52439.0	0.0	0.0	147114.0	
41787.0	505.0	678.0	157030.0	9.635888368550918e-06	64298.0	0.0	0.0	135403.0		52245.0	0.0	0.0	147301.0	
41772.0	385.0	804.0	157039.0	4.01968897254606e-06	64293.0	0.0	0.0	135407.0		52240.0	0.0	0.0	147301.0	
41745.0	42.0	876.0	157337.0	1.0117964528057116e-05	64064.0	0.0	0.0	135698.0		52063.0	0.0	0.0	147588.0	
41738.0	34.0	885.0	157343.0	4.060844444480541e-07	64059.0	0.0	0.0	135701.0		52060.0	0.0	0.0	147592.0	
41414.0	331.0	893.0	157362.0	7.300710478104061e-07	64044.0	0.0	0.0	135633.0		52049.0	0.0	0.0	147484.0	
41403.0	335.0	827.0	157435.0	2.0443757456312932e-07	63987.0	0.0	0.0	135703.0		52005.0	0.0	0.0	147554.0	
41384.0	30.0	878.0	157708.0	8.916984852574719e-06	63787.0	0.0	0.0	135970.0		51818.0	0.0	0.0	147820.0	
41103.0	300.0	754.0	157843.0	3.5493417552114503e-07	63694.0	0.0	0.0	136043.0		51741.0	0.0	0.0	147834.0	
41097.0	287.0	403.0	158213.0	1.1471981406212536e-06	63414.0	0.0	0.0	136411.0		51516.0	0.0	0.0	148203.0	
40948.0	155.0	669.0	158228.0	1.0257641285684728e-05	63404.0	0.0	0.0	136389.0		51510.0	0.0	0.0	148165.0	
40945.0	152.0	648.0	158255.0	2.2613894881571034e-07	63384.0	0.0	0.0	136416.0		51494.0	0.0	0.0	148189.0	
40926.0	22.0	790.0	158262.0	4.608503028312292e-06	63380.0	0.0	0.0	136422.0		51489.0	0.0	0.0	148188.0	
40923.0	22.0	469.0	158586.0	1.5630790719499363e-07	63143.0	0.0	0.0	136743.0		51292.0	0.0	0.0	148511.0	
40757.0	169.0	477.0	158597.0	9.77311507601246e-07	63135.0	0.0	0.0	136715.0		51284.0	0.0	0.0	148444.0	
40757.0	166.0	461.0	158616.0	1.5966808624013963e-07	63122.0	0.0	0.0	136734.0		51272.0	0.0	0.0	148463.0	
40515.0	242.0	346.0	158897.0	1.1841757031399918e-05	62903.0	0.0	0.0	136939.0		51112.0	0.0	0.0	148645.0	
40514.0	243.0	340.0	158903.0	0.0	62899.0	0.0	0.0	136945.0		51107.0	0.0	0.0	148651.0	
40505.0	10.0	433.0	159052.0	1.3798085544139191e-05	62787.0	0.0	0.0	137091.0		51011.0	0.0	0.0	148798.0	
40494.0	20.0	431.0	159055.0	5.729702214770553e-08	62784.0	0.0	0.0	137092.0		51011.0	0.0	0.0	148797.0	
40469.0	36.0	421.0	159074.0	5.282480962965758e-07	62766.0	0.0	0.0	137107.0		51000.0	0.0	0.0	148804.0	
40469.0	25.0	429.0	159077.0	6.335967194896252e-07	62766.0	0.0	0.0	137110.0		50998.0	0.0	0.0	148807.0	
40455.0	14.0	288.0	159243.0	2.1457311965283784e-06	62639.0	0.0	0.0	137274.0		50910.0	0.0	0.0	148969.0	
40424.0	45.0	288.0	159243.0	0.0	62639.0	0.0	0.0	137271.0		50910.0	0.0	0.0	148957.0	
40400.0	55.0	60.0	159485.0	5.775577557755775e-06	62473.0	0.0	0.0	137508.0		50767.0	0.0	0.0	149183.0	
40398.0	26.0	90.0	159486.0	8.526274678064371e-06	62472.0	0.0	0.0	137508.0		50766.0	0.0	0.0	149182.0	
40397.0	3.0	105.0	159495.0	5.658128786083833e-06	62466.0	0.0	0.0	137517.0		50759.0	0.0	0.0	149190.0	
40372.0	26.0	96.0	159506.0	5.160342151326002e-07	62457.0	0.0	0.0	137525.0		50752.0	0.0	0.0	149191.0	
40334.0	63.0	72.0	159531.0	3.4434692539517253e-07	62436.0	0.0	0.0	137535.0		50739.0	0.0	0.0	149198.0	
40333.0	39.0	97.0	159531.0	6.390101375124255e-06	62436.0	0.0	0.0	137535.0		50739.0	0.0	0.0	149198.0	
40294.0	40.0	121.0	159545.0	7.79395410673697e-06	62424.0	0.0	0.0	137537.0		50729.0	0.0	0.0	149197.0	
40293.0	40.0	91.0	159576.0	2.727275454548182e-07	62396.0	0.0	0.0	137568.0		50710.0	0.0	0.0	149227.0	
40285.0	9.0	106.0	159600.0	9.133040295442144e-06	62377.0	0.0	0.0	137589.0		50702.0	0.0	0.0	149246.0	
40240.0	53.0	105.0	159602.0	2.366751869733977e-07	62376.0	0.0	0.0	137577.0		50702.0	0.0	0.0	149225.0	
40234.0	51.0	112.0	159603.0	1.7753286133263267e-06	62375.0	0.0	0.0	137577.0		50702.0	0.0	0.0	149224.0	
40203.0	37.0	132.0	159628.0	8.479692831606867e-06	62353.0	0.0	0.0	137598.0		50687.0	0.0	0.0	149233.0	
40193.0	41.0	100.0	159666.0	1.492797253253054e-06	62330.0	0.0	0.0	137634.0		50667.0	0.0	0.0	149267.0	
