S_H1N1	E_H1N1	I_H1N1	R_H1N1	beta_H1N1	S_H3N2	E_H3N2	I_H3N2	R_H3N2	beta_H3N2	S_B	E_B	I_B	R_B	beta_B
155988.0	2.0	10.0	44000.0	6.410749544836783e-06	148000.0	0.0	0.0	51994.0		120000.0	0.0	0.0	79995.0	
155979.0	11.0	10.0	44000.0	0.0	148000.0	0.0	0.0	51993.0		120000.0	0.0	0.0	79993.0	
155975.0	13.0	12.0	44000.0	1.0685473099321473e-06	148000.0	0.0	0.0	51993.0		120000.0	0.0	0.0	79992.0	
155940.0	39.0	21.0	44000.0	2.74830978947947e-06	148000.0	0.0	0.0	51982.0		120000.0	0.0	0.0	79980.0	
155909.0	66.0	25.0	44000.0	1.026239665445869e-06	148000.0	0.0	0.0	51970.0		120000.0	0.0	0.0	79972.0	
155843.0	97.0	60.0	44000.0	3.7430833167568217e-06	148000.0	0.0	0.0	51951.0		120000.0	0.0	0.0	79951.0	
155726.0	183.0	81.0	44010.0	2.4576246059278223e-06	147995.0	0.0	0.0	51933.0		119993.0	0.0	0.0	79920.0	
155679.0	164.0	147.0	44010.0	2.8840087091819363e-06	147995.0	0.0	0.0	51920.0		119993.0	0.0	0.0	79897.0	
155669.0	57.0	262.0	44012.0	2.8686821749749994e-06	147994.0	0.0	0.0	51919.0		119993.0	0.0	0.0	79894.0	
155646.0	33.0	300.0	44021.0	1.00655761578625e-06	147986.0	0.0	0.0	51922.0		119986.0	0.0	0.0	79897.0	
155343.0	326.0	306.0	44025.0	2.1037149122967564e-07	147982.0	0.0	0.0	51849.0		119983.0	0.0	0.0	79777.0	
155317.0	329.0	294.0	44060.0	5.036878932570601e-07	147958.0	0.0	0.0	51876.0		119960.0	0.0	0.0	79801.0	
154795.0	548.0	566.0	44091.0	3.458352589204667e-06	147939.0	0.0	0.0	51796.0		119937.0	0.0	0.0	79611.0	
154417.0	900.0	526.0	44157.0	3.2010502596655033e-07	147892.0	0.0	0.0	51771.0		119892.0	0.0	0.0	79533.0	
154345.0	450.0	931.0	44274.0	3.6326893185259257e-06	147803.0	0.0	0.0	51868.0		119816.0	0.0	0.0	79628.0	
154289.0	128.0	1262.0	44321.0	1.941321573046913e-06	147769.0	0.0	0.0	51898.0		119792.0	0.0	0.0	79658.0	
153161.0	1184.0	1324.0	44331.0	3.550555601789488e-07	147762.0	0.0	0.0	51631.0		119787.0	0.0	0.0	79236.0	
152938.0	1351.0	1357.0	44354.0	2.6983157777857165e-07	147745.0	0.0	0.0	51592.0		119770.0	0.0	0.0	79178.0	
151928.0	1233.0	2182.0	44657.0	3.40264414891689e-06	147519.0	0.0	0.0	51625.0		119591.0	0.0	0.0	79063.0	
148504.0	4434.0	2379.0	44683.0	6.312076727136475e-07	147501.0	0.0	0.0	50786.0		119576.0	0.0	0.0	77725.0	
148104.0	3824.0	2867.0	45205.0	2.378630003697851e-06	147090.0	0.0	0.0	51205.0		119275.0	0.0	0.0	78088.0	
139064.0	9440.0	5913.0	45583.0	4.164004209185601e-06	146803.0	0.0	0.0	49232.0		119041.0	0.0	0.0	74828.0	
138692.0	9412.0	6241.0	45655.0	4.6211960965144756e-07	146751.0	0.0	0.0	49221.0		118991.0	0.0	0.0	74747.0	
137868.0	1196.0	15225.0	45711.0	4.3067300804086515e-06	146712.0	0.0	0.0	49061.0		118952.0	0.0	0.0	74460.0	
125005.0	13687.0	14469.0	46839.0	2.0567288442611164e-07	145861.0	0.0	0.0	46765.0		118256.0	0.0	0.0	70427.0	
120927.0	16941.0	15070.0	47062.0	4.521584802962257e-07	145700.0	0.0	0.0	45907.0		118114.0	0.0	0.0	69026.0	
111420.0	13585.0	26923.0	48072.0	4.288008764005859e-06	144960.0	0.0	0.0	44493.0		117522.0	0.0	0.0	66128.0	
109962.0	10965.0	27577.0	51496.0	1.3447996025898867e-06	142401.0	0.0	0.0	47531.0		115462.0	0.0	0.0	68981.0	
71795.0	39625.0	36684.0	51896.0	3.609712466183578e-06	142104.0	0.0	0.0	38110.0		115221.0	0.0	0.0	54123.0	
70673.0	39289.0	29102.0	60936.0	7.088937714349871e-07	135415.0	0.0	0.0	46864.0		109819.0	0.0	0.0	62689.0	
44569.0	27226.0	66897.0	61308.0	1.2801135446191343e-05	135126.0	0.0	0.0	40341.0		109600.0	0.0	0.0	52708.0	
38968.0	31705.0	67195.0	62132.0	4.2849699644992147e-07	134518.0	0.0	0.0	39700.0		109119.0	0.0	0.0	51329.0	
37229.0	7340.0	80436.0	74995.0	8.717164156734499e-06	125079.0	0.0	0.0	52121.0		101417.0	0.0	0.0	63489.0	
36301.0	2667.0	81959.0	79073.0	1.8825665290919471e-06	122082.0	0.0	0.0	55982.0		98963.0	0.0	0.0	67193.0	
36068.0	1161.0	74191.0	88580.0	6.498697113249743e-07	114999.0	0.0	0.0	65426.0		93364.0	0.0	0.0	76602.0	
35246.0	1055.0	73661.0	90038.0	3.574378415805335e-07	113927.0	0.0	0.0	66660.0		92477.0	0.0	0.0	77743.0	
32549.0	3519.0	35727.0	128205.0	2.0036493540604685e-07	85581.0	0.0	0.0	104136.0		69568.0	0.0	0.0	114797.0	
32320.0	2926.0	35427.0	129327.0	7.179035288574162e-07	84745.0	0.0	0.0	105196.0		68920.0	0.0	0.0	115835.0	
30049.0	2500.0	12020.0	155431.0	7.467005222584587e-06	65536.0	0.0	0.0	130659.0		53169.0	0.0	0.0	140998.0	
28926.0	3394.0	6648.0	161032.0	1.190847336657971e-06	61400.0	0.0	0.0	135982.0		49771.0	0.0	0.0	146164.0	
28883.0	1166.0	7180.0	162771.0	1.0950914538792903e-05	60103.0	0.0	0.0	137708.0		48735.0	0.0	0.0	147886.0	
26379.0	2547.0	7375.0	163699.0	5.772439684623297e-06	59392.0	0.0	0.0	137978.0		48181.0	0.0	0.0	147832.0	
26134.0	2749.0	7185.0	163932.0	2.290001655724453e-07	59222.0	0.0	0.0	138150.0		48046.0	0.0	0.0	147959.0	
25843.0	536.0	8867.0	164754.0	1.0927345844879579e-05	58624.0	0.0	0.0	138894.0		47541.0	0.0	0.0	148660.0	
24994.0	1140.0	6415.0	167451.0	1.5280362532526123e-06	56618.0	0.0	0.0	141367.0		45957.0	0.0	0.0	151019.0	
24486.0	1357.0	6477.0	167680.0	1.8348528752541792e-06	56451.0	0.0	0.0	141464.0		45812.0	0.0	0.0	151030.0	
24467.0	527.0	5055.0	169951.0	6.864450985212445e-06	54821.0	0.0	0.0	143731.0		44482.0	0.0	0.0	153290.0	
23898.0	588.0	4440.0	171074.0	4.787614629442398e-06	53976.0	0.0	0.0	144715.0		43794.0	0.0	0.0	154212.0	
22513.0	1954.0	4416.0	171117.0	1.9111341144601156e-07	53946.0	0.0	0.0	144393.0		43768.0	0.0	0.0	153722.0	
22505.0	1393.0	2481.0	173621.0	1.019075791388917e-05	52100.0	0.0	0.0	146895.0		42246.0	0.0	0.0	156223.0	
22452.0	61.0	3621.0	173866.0	1.7035944440532943e-05	51916.0	0.0	0.0	147117.0		42107.0	0.0	0.0	156452.0	
22448.0	57.0	3338.0	174157.0	1.0676428623590551e-07	51703.0	0.0	0.0	147408.0		41937.0	0.0	0.0	156741.0	
22432.0	20.0	2542.0	175006.0	9.294634729974376e-07	51078.0	0.0	0.0	148253.0		41426.0	0.0	0.0	157582.0	
22431.0	17.0	2038.0	175514.0	8.749982335973159e-08	50702.0	0.0	0.0	148760.0		41136.0	0.0	0.0	158090.0	
22411.0	21.0	2035.0	175533.0	3.5082806935914785e-07	50687.0	0.0	0.0	148775.0		41128.0	0.0	0.0	158097.0	
22410.0	21.0	1467.0	176102.0	3.0417816079891786e-08	50257.0	0.0	0.0	149344.0		40760.0	0.0	0.0	158665.0	
22359.0	52.0	102.0	177487.0	8.769552814193346e-06	49237.0	0.0	0.0	150715.0		39908.0	0.0	0.0	160028.0	
22358.0	52.0	95.0	177495.0	4.708075762355168e-07	49231.0	0.0	0.0	150723.0		39903.0	0.0	0.0	160036.0	
22358.0	1.0	93.0	177548.0	2.4527555987753535e-05	49201.0	0.0	0.0	150776.0		39866.0	0.0	0.0	160089.0	
22358.0	0.0	90.0	177552.0	4.969635526930455e-07	49197.0	0.0	0.0	150780.0		39864.0	0.0	0.0	160093.0	
22356.0	2.0	74.0	177568.0	0.0	49185.0	0.0	0.0	150795.0		39856.0	0.0	0.0	160107.0	
22356.0	2.0	73.0	177569.0	0.0	49185.0	0.0	0.0	150796.0		39855.0	0.0	0.0	160108.0	
22356.0	0.0	55.0	177589.0	1.6265716748808537e-06	49169.0	0.0	0.0	150816.0		39847.0	0.0	0.0	160128.0	
22356.0	0.0	54.0	177590.0	0.0	49168.0	0.0	0.0	150817.0		39847.0	0.0	0.0	160129.0	
22356.0	0.0	3.0	177641.0	0.0	49131.0	0.0	0.0	150868.0		39818.0	0.0	0.0	160180.0	
22356.0	0.0	2.0	177642.0	0.0	49130.0	0.0	0.0	150869.0		39817.0	0.0	0.0	160181.0	
22356.0	0.0	2.0	177642.0	0.0	49130.0	0.0	0.0	150869.0		39817.0	0.0	0.0	160181.0	
22356.0	0.0	2.0	177642.0	0.0	49130.0	0.0	0.0	150869.0		39817.0	0.0	0.0	160181.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
