S_H1N1	E_H1N1	I_H1N1	R_H1N1	beta_H1N1	S_H3N2	E_H3N2	I_H3N2	R_H3N2	beta_H3N2	S_B	E_B	I_B	R_B	beta_B
155966.0	24.0	10.0	44000.0	6.411653821986843e-06	148000.0	0.0	0.0	51989.0		120000.0	0.0	0.0	79988.0	
155934.0	56.0	10.0	44000.0	0.0	148000.0	0.0	0.0	51978.0		120000.0	0.0	0.0	79978.0	
155907.0	59.0	34.0	44000.0	4.5275860156450735e-06	148000.0	0.0	0.0	51968.0		120000.0	0.0	0.0	79966.0	
155901.0	33.0	66.0	44000.0	3.109976747092609e-06	148000.0	0.0	0.0	51967.0		120000.0	0.0	0.0	79965.0	
155878.0	29.0	93.0	44000.0	1.862498753160557e-06	148000.0	0.0	0.0	51962.0		120000.0	0.0	0.0	79953.0	
155848.0	53.0	99.0	44000.0	3.888792965329077e-07	148000.0	0.0	0.0	51955.0		120000.0	0.0	0.0	79942.0	
155843.0	35.0	112.0	44010.0	1.3177181064092892e-06	147995.0	0.0	0.0	51963.0		119993.0	0.0	0.0	79951.0	
155766.0	82.0	142.0	44010.0	1.3563139942850353e-06	147995.0	0.0	0.0	51942.0		119993.0	0.0	0.0	79924.0	
155726.0	117.0	123.0	44034.0	2.610380187256145e-07	147977.0	0.0	0.0	51959.0		119978.0	0.0	0.0	79929.0	
155632.0	134.0	168.0	44066.0	2.944981323463898e-06	147956.0	0.0	0.0	51968.0		119956.0	0.0	0.0	79927.0	
155493.0	233.0	181.0	44093.0	1.4212503144072179e-06	147939.0	0.0	0.0	51958.0		119941.0	0.0	0.0	79903.0	
155260.0	372.0	269.0	44099.0	2.2506916087991505e-06	147934.0	0.0	0.0	51906.0		119936.0	0.0	0.0	79815.0	
154925.0	568.0	385.0	44122.0	2.3304112379471422e-06	147916.0	0.0	0.0	51845.0		119925.0	0.0	0.0	79703.0	
154571.0	689.0	588.0	44152.0	2.5636018619363303e-06	147893.0	0.0	0.0	51788.0		119906.0	0.0	0.0	79577.0	
153976.0	949.0	918.0	44157.0	2.370004073860137e-06	147890.0	0.0	0.0	51657.0		119902.0	0.0	0.0	79323.0	
153813.0	758.0	1195.0	44234.0	1.925938052202551e-06	147834.0	0.0	0.0	51696.0		119852.0	0.0	0.0	79345.0	
153570.0	406.0	1750.0	44274.0	2.2139740834798463e-06	147801.0	0.0	0.0	51671.0		119831.0	0.0	0.0	79270.0	
151913.0	1900.0	1819.0	44368.0	5.898749655787149e-07	147730.0	0.0	0.0	51336.0		119771.0	0.0	0.0	78676.0	
151441.0	2129.0	1923.0	44507.0	8.344177244087407e-07	147628.0	0.0	0.0	51345.0		119683.0	0.0	0.0	78601.0	
147139.0	4774.0	3347.0	44740.0	3.3646430391008904e-06	147453.0	0.0	0.0	50420.0		119544.0	0.0	0.0	77118.0	
147047.0	4394.0	3484.0	45075.0	9.21314027723604e-07	147202.0	0.0	0.0	50732.0		119344.0	0.0	0.0	77414.0	
142719.0	4420.0	7432.0	45429.0	4.05585958349388e-06	146935.0	0.0	0.0	49995.0		119146.0	0.0	0.0	76032.0	
141457.0	5590.0	6929.0	46024.0	9.386265243145544e-08	146476.0	0.0	0.0	50266.0		118810.0	0.0	0.0	76129.0	
132253.0	10466.0	11094.0	46187.0	2.949806703896744e-06	146351.0	0.0	0.0	48083.0		118702.0	0.0	0.0	72647.0	
132017.0	9440.0	12113.0	46430.0	7.891831031937933e-07	146173.0	0.0	0.0	48270.0		118574.0	0.0	0.0	72787.0	
130321.0	1932.0	19660.0	48087.0	3.592350410629773e-06	144945.0	0.0	0.0	49452.0		117605.0	0.0	0.0	73772.0	
122839.0	9178.0	19424.0	48559.0	9.890928473593159e-08	144603.0	0.0	0.0	47985.0		117347.0	0.0	0.0	71239.0	
118750.0	11571.0	16818.0	52861.0	8.492154395979245e-07	141459.0	0.0	0.0	51216.0		114761.0	0.0	0.0	73907.0	
111746.0	11093.0	24208.0	52953.0	2.765838431456458e-06	141390.0	0.0	0.0	49406.0		114708.0	0.0	0.0	71163.0	
109750.0	9000.0	23969.0	57281.0	1.5543995656500505e-06	138153.0	0.0	0.0	53189.0		112116.0	0.0	0.0	74701.0	
109158.0	2588.0	29711.0	58543.0	2.159599897402108e-06	137215.0	0.0	0.0	54312.0		111352.0	0.0	0.0	75719.0	
96710.0	13040.0	22503.0	67747.0	9.171676614604398e-07	130357.0	0.0	0.0	60220.0		105793.0	0.0	0.0	80001.0	
96544.0	12614.0	22859.0	67983.0	2.6824966643153977e-07	130177.0	0.0	0.0	60412.0		105660.0	0.0	0.0	80190.0	
88059.0	8651.0	33611.0	69679.0	4.205759131061296e-06	128956.0	0.0	0.0	59900.0		104636.0	0.0	0.0	78458.0	
72487.0	24057.0	26295.0	77161.0	8.709130271545724e-08	123413.0	0.0	0.0	63286.0		100159.0	0.0	0.0	79708.0	
65892.0	22167.0	30691.0	81250.0	4.1957356479291745e-06	120395.0	0.0	0.0	65727.0		97704.0	0.0	0.0	81154.0	
54109.0	18378.0	39259.0	88254.0	7.3305347057200885e-06	115293.0	0.0	0.0	69776.0		93536.0	0.0	0.0	83476.0	
53650.0	12242.0	43858.0	90250.0	2.8028267283166714e-06	113842.0	0.0	0.0	71651.0		92330.0	0.0	0.0	85300.0	
41955.0	12154.0	55049.0	90842.0	5.101791643535034e-06	113389.0	0.0	0.0	69190.0		91982.0	0.0	0.0	81292.0	
36587.0	17063.0	43060.0	103290.0	2.9134787824035174e-07	104237.0	0.0	0.0	80254.0		84456.0	0.0	0.0	91586.0	
25483.0	16472.0	54589.0	103456.0	8.40706747851732e-06	104115.0	0.0	0.0	77510.0		84337.0	0.0	0.0	87279.0	
24263.0	12324.0	51472.0	111941.0	4.2983023909156515e-06	97838.0	0.0	0.0	85683.0		79280.0	0.0	0.0	95274.0	
16160.0	9323.0	47004.0	127513.0	1.4618515719327869e-05	86362.0	0.0	0.0	99167.0		69940.0	0.0	0.0	107595.0	
14175.0	10088.0	41629.0	134108.0	2.06747746523704e-06	81415.0	0.0	0.0	105237.0		65988.0	0.0	0.0	113392.0	
12824.0	3336.0	37949.0	145891.0	1.6650297333254844e-05	72587.0	0.0	0.0	116655.0		58887.0	0.0	0.0	124633.0	
10228.0	3947.0	39475.0	146350.0	4.916405015674292e-06	72249.0	0.0	0.0	116428.0		58600.0	0.0	0.0	124058.0	
9439.0	3385.0	29131.0	158045.0	4.913307775574314e-06	63607.0	0.0	0.0	127914.0		51505.0	0.0	0.0	135445.0	
9105.0	1123.0	26359.0	163413.0	1.0816725482611478e-05	59623.0	0.0	0.0	133194.0		48291.0	0.0	0.0	140691.0	
8882.0	557.0	16044.0	174517.0	5.536733002482309e-06	51429.0	0.0	0.0	144236.0		41660.0	0.0	0.0	151703.0	
8870.0	235.0	15158.0	175737.0	2.4841678922638697e-06	50521.0	0.0	0.0	145452.0		40930.0	0.0	0.0	152918.0	
8780.0	102.0	7278.0	183840.0	3.4897819809567448e-06	44506.0	0.0	0.0	153535.0		36078.0	0.0	0.0	160987.0	
8327.0	543.0	5305.0	185825.0	2.7164848866665526e-07	43046.0	0.0	0.0	155392.0		34891.0	0.0	0.0	162791.0	
8307.0	473.0	4044.0	187176.0	2.679089066851845e-06	42060.0	0.0	0.0	156735.0		34082.0	0.0	0.0	164130.0	
8302.0	25.0	1901.0	189772.0	2.870340085243398e-05	40150.0	0.0	0.0	159331.0		32520.0	0.0	0.0	166724.0	
8244.0	63.0	1132.0	190561.0	2.143115541359558e-06	39570.0	0.0	0.0	160103.0		32039.0	0.0	0.0	167487.0	
8240.0	62.0	803.0	190895.0	7.556614153236044e-07	39324.0	0.0	0.0	160436.0		31827.0	0.0	0.0	167819.0	
8236.0	8.0	638.0	191118.0	1.1038014923396176e-05	39163.0	0.0	0.0	160659.0		31696.0	0.0	0.0	168040.0	
8236.0	4.0	630.0	191130.0	7.709089787768758e-07	39155.0	0.0	0.0	160671.0		31689.0	0.0	0.0	168052.0	
8235.0	1.0	544.0	191220.0	8.92889031751134e-07	39085.0	0.0	0.0	160760.0		31633.0	0.0	0.0	168141.0	
8234.0	2.0	91.0	191673.0	0.0	38760.0	0.0	0.0	161212.0		31361.0	0.0	0.0	168594.0	
8233.0	2.0	72.0	191693.0	1.686977880346033e-06	38748.0	0.0	0.0	161232.0		31353.0	0.0	0.0	168613.0	
8233.0	1.0	68.0	191698.0	1.7862118733075641e-06	38743.0	0.0	0.0	161237.0		31350.0	0.0	0.0	168618.0	
8231.0	2.0	11.0	191756.0	1.1044720071569785e-05	38702.0	0.0	0.0	161295.0		31318.0	0.0	0.0	168676.0	
8231.0	2.0	7.0	191760.0	0.0	38699.0	0.0	0.0	161299.0		31316.0	0.0	0.0	168680.0	
8231.0	0.0	5.0	191764.0	4.859676831490706e-05	38695.0	0.0	0.0	161303.0		31314.0	0.0	0.0	168684.0	
8231.0	0.0	5.0	191764.0	0.0	38695.0	0.0	0.0	161303.0		31314.0	0.0	0.0	168684.0	
8231.0	0.0	4.0	191765.0	0.0	38695.0	0.0	0.0	161304.0		31314.0	0.0	0.0	168685.0	
8231.0	0.0	3.0	191766.0	0.0	38695.0	0.0	0.0	161305.0		31313.0	0.0	0.0	168686.0	
8231.0	0.0	2.0	191767.0	0.0	38694.0	0.0	0.0	161306.0		31313.0	0.0	0.0	168687.0	
8231.0	0.0	2.0	191767.0	0.0	38694.0	0.0	0.0	161306.0		31313.0	0.0	0.0	168687.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
