H1N1	H3N2	B
12	0	0
14	0	0
41	0	0
41	0	0
76	0	0
80	0	0
119	0	0
136	0	0
138	0	0
190	0	0
176	0	0
330	0	0
375	0	0
510	0	0
479	0	0
891	0	0
1050	0	0
1395	0	0
1472	0	0
1915	0	0
1955	0	0
2971	0	0
3287	0	0
3343	0	0
3947	0	0
4953	0	0
5059	0	0
5377	0	0
8442	0	0
9431	0	0
10336	0	0
15188	0	0
15575	0	0
20184	0	0
29435	0	0
32968	0	0
31621	0	0
41874	0	0
42941	0	0
63820	0	0
71069	0	0
88018	0	0
79347	0	0
75851	0	0
74795	0	0
74632	0	0
72944	0	0
47537	0	0
39257	0	0
16431	0	0
16407	0	0
16915	0	0
16149	0	0
4333	0	0
3732	0	0
3250	0	0
3682	0	0
3555	0	0
3201	0	0
1887	0	0
1878	0	0
1522	0	0
1589	0	0
1283	0	0
729	0	0
806	0	0
432	0	0
304	0	0
318	0	0
322	0	0
239	0	0
263	0	0
263	0	0
208	0	0
196	0	0
191	0	0
170	0	0
107	0	0
120	0	0
76	0	0
75	0	0
43	0	0
32	0	0
20	0	0
20	0	0
17	0	0
3	0	0
2	0	0
2	0	0
2	0	0
1	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
